average_per_theatre	gross	rank	production_budget	runtime	theaters	ratio	genre	Action	Drama	Comedy	Documentary	Foreign	Horror	Sci-Fi	Romance	Animation	release_year	actors	1	2	3	4	actors_sum	directors	dire_sum	distributor	dist_sum	G	GP	NC-17	Not Yet Rated	PG	PG-13	R	Unknown	Unrated
2996.5224544	2996.5224544	117.0	0.0	92.0	1.0	0	Drama	0	1	0	0	0	0	0	0	0	8	Famke Janssen	1310191018	0	0	0	1310191018		0	Screen Media	115607	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
7686.15715526	2121301.21427	15.0	0.0	122.0	276.0	187	Documentary	0	0	0	1	0	0	0	0	0	8		0	0	0	0	0	Martin Scorsese	981290666	Paramount Vantage	159319923	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
25513.8761826	10103985.1685	1.0	32000000.0	194.0	396.0	6453	Historical Drama	0	1	0	0	0	0	0	0	0	35	Warren Beatty,Diane Keaton,Jack Nicholson,Paul Sorvino	0	0	0	0	0		0	Paramount	1313037390	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
4221.10039611	84423.0616167	44.0	0.0	107.0	20.0	6	Foreign / Action	1	0	0	0	1	0	0	0	0	5	Donnie Yen	291087750	0	0	0	291087750		0	Variance Films	904723	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
3093.66775649	3093.66775649	106.0	0.0	97.0	1.0	0	Documentary	0	0	0	1	0	0	0	0	0	2		0	0	0	0	0		0	Drafthouse	2068485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
6729.0	17509105.0	4.0	0.0	98.0	2602.0	886	Horror	0	0	0	0	0	1	0	0	0	1	Jeremy Irvine	0	0	0	0	0		0	Relativity	888018688	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
35802.4462693	107407.338808	38.0	0.0	0.0	3.0	5	Comedy	0	0	1	0	0	0	0	0	0	2	Steve Coogan	1495598133	0	0	0	1495598133	Michael Winterbottom	19087194	IFC	485169343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
3118.69743089	3118.69743089	97.0	0.0	183.0	1.0	0	Documentary	0	0	0	1	0	0	0	0	0	2		0	0	0	0	0		0	Zipporah Films	857429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1887.23745016	1135882.66724	14.0	0.0	102.0	602.0	122	Horror	0	0	0	0	0	1	0	0	0	2	Justin Long,Michael Parks,Genesis Rodriguez,Haley Joel Osment,Johnny Depp	1900812149	28621346	149111434	623107112	2701652042	Kevin Smith	254632720	A24	38781825	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
21636.6261671	62812580.6852	1.0	20000000.0	112.0	2903.0	2138	Horror	0	0	0	0	0	1	0	0	0	3	Vera Farmiga,Patrick Wilson,Lili Taylor,Ron Livingston,Joey King	619362243	629183882	216212772	341239509	1805998408	James Wan	157287665	Warner Bros. (New Line)	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
3269.32613749	3269.32613749	91.0	0.0	90.0	1.0	0	Foreign	0	0	0	0	1	0	0	0	0	9		0	0	0	0	0		0	Kino	13502011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
2637.18020951	39565.7049898	60.0	0.0	90.0	15.0	2	War	0	0	0	0	0	0	0	0	0	9		0	0	0	0	0	Brian De Palma	939720682	Magnolia	54482254	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
34800.4124845	174000.724099	38.0	0.0	134.0	5.0	26	Period Drama	0	1	0	0	0	0	0	0	0	15	Kate Beckinsale,Uma Thurman	51377024	708260413	0	0	759637437	James Ivory	127324651	Lions Gate	164788888	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
