Year,Annual,inflation
1913,9.9,1
1914,10.0,1.01010101
1915,10.1,1
1916,10.9,7.920792079
1917,12.8,17.43119266
1918,15.1,17.96875
1919,17.3,14.56953642
1920,20.0,15.60693642
1921,17.9,-10.5
1922,16.8,-6.145251397
1923,17.1,1.785714286
1924,17.1,0
1925,17.5,2.339181287
1926,17.7,1.142857143
1927,17.4,-1.694915254
1928,17.1,-1.724137931
1929,17.1,0
1930,16.7,-2.339181287
1931,15.2,-8.982035928
1932,13.7,-9.868421053
1933,13.0,-5.109489051
1934,13.4,3.076923077
1935,13.7,2.23880597
1936,13.9,1.459854015
1937,14.4,3.597122302
1938,14.1,-2.083333333
1939,13.9,-1.418439716
1940,14.0,0.71942446
1941,14.7,5
1942,16.3,10.88435374
1943,17.3,6.134969325
1944,17.6,1.734104046
1945,18.0,2.272727273
1946,19.5,8.333333333
1947,22.3,14.35897436
1948,24.1,8.071748879
1949,23.8,-1.244813278
1950,24.1,1.260504202
1951,26.0,7.883817427
1952,26.5,1.923076923
1953,26.7,0.754716981
1954,26.9,0.74906367
1955,26.8,-0.371747212
1956,27.2,1.492537313
1957,28.1,3.308823529
1958,28.9,2.846975089
1959,29.1,0.692041522
1960,29.6,1.718213058
1961,29.9,1.013513514
1962,30.2,1.003344482
1963,30.6,1.324503311
1964,31.0,1.307189542
1965,31.5,1.612903226
1966,32.4,2.857142857
1967,33.4,3.086419753
1968,34.8,4.191616766
1969,36.7,5.459770115
1970,38.8,5.722070845
1971,40.5,4.381443299
1972,41.8,3.209876543
1973,44.4,6.220095694
1974,49.3,11.03603604
1975,53.8,9.127789047
1976,56.9,5.762081784
1977,60.6,6.502636204
1978,65.2,7.590759076
1979,72.6,11.34969325
1980,82.4,13.49862259
1981,90.9,10.31553398
1982,96.5,6.160616062
1983,99.6,3.212435233
1984,103.9,4.317269076
1985,107.6,3.561116458
1986,109.6,1.858736059
1987,113.6,3.649635036
1988,118.3,4.137323944
1989,124.0,4.818258664
1990,130.7,5.403225806
1991,136.2,4.208110176
1992,140.3,3.010279001
1993,144.5,2.993585175
1994,148.2,2.560553633
1995,152.4,2.834008097
1996,156.9,2.952755906
1997,160.5,2.294455067
1998,163.0,1.557632399
1999,166.6,2.208588957
2000,172.2,3.361344538
2001,177.1,2.845528455
2002,179.9,1.581027668
2003,184.0,2.279043913
2004,188.9,2.663043478
2005,195.3,3.388035998
2006,201.6,3.225806452
2007,207.342,2.848214286
2008,215.303,3.839550115
2009,214.537,-0.355777671
2010,218.056,1.640276502
2011,224.939,3.156528598
2012,229.594,2.06944994
2013,232.957,1.464759532
2014,236.736,1.622187786
2015,237.017,0.118697621
