	actors	average_per_theatre	cinematographers	composers	directors	distributor	domestic	foreign	genre	gross	gross2	gross_to_date	mpaa_rating	producers	production_budget	rank	release_date	release_year	runtime	theaters	theatre_change	title	week	week_number	week_over_week_change	worldwide	writers
0	Billy Bob Thornton	3839.0		Stephen Trask		First Look	98129.6496979		Drama	18636.1139375	30536.7217307	15356.0	R			80.0	2005-04-08		120.0	4.0		Chrystal (2005)	2005-04-08	1.0			
1	Ethan Hawke,Robin Williams	75925.0			Peter Weir	Buena Vista	183229654.145	140000000.0	Drama	1160999.10309	24380075.1483	607399.0	PG			14.0	1989-06-02		128.0	8.0		Dead Poets Society (1989)	1989-06-02	1.0		235860116.0	
2	Penelope Cruz	10194.0				Oscilloscope Pictures	47258.0	1090163.0	Drama	10194.0	23478.0	10194.0	Not Yet Rated			68.0	2016-05-20		111.0	1.0		Ma ma (2016)	2016-05-20	1.0		1137421.0	
3		6295.0				MGM	17075675.593		Unknown	8913183.72415	5365417.60466	3745525.0	R			2.0	1983-03-11		103.0	595.0		10 to Midnight (1983)	1983-03-11	1.0			
4						Sony Classics	147394.86323		Unknown	4081.88509317	67654.903354	3050.0	PG-13			57.0	2001-07-06		112.0			The Vertical Ray of the Sun (2001)	2001-06-29	0.0		110134.0	
5		11561.0			George Hickenlooper	IDP	1890623.60907	571375.0	Drama	91385.2705447	172274.073947	69363.0	R	Paul Brooks		49.0	2002-09-27		106.0	6.0		The Man from Elysian Fields (2002)	2002-09-27	1.0		2006391.0	
6	Eddie Marsan	2153.0			Paddy Considine	Strand	23519.5162111		Drama	11341.9682136	1367.69553523	10764.0	Unrated			63.0	2011-11-18		91.0	5.0		Tyrannosaur (2011)	2011-11-18	1.0		22321.0	Paddy Considine
7	Amber Tamblyn,Sarah Michelle Gellar,Sarah Roemer,Teresa Palmer,Jenna Dewan-Tatum	7375.0		Christopher Young		Sony / Columbia	46020611.5489	31567336.0	Horror	27840329.5508	10623180.7105	23680202.0	PG-13	Doug Davison,Roy Lee,Sam Raimi	20000000.0	2.0	2006-10-13		95.0	3211.0		The Grudge 2 (2006)	2006-10-13	1.0		70711175.0	
8	Ashton Kutcher,Jennifer Garner	9078.0		David Kitay		Fox	64319146.3798	26450923.0	Comedy	26077480.2282	14917598.0978	18946076.0	PG-13	Broderick Johnson,Andrew A. Kosove	13000000.0	3.0	2000-12-15		83.0	2087.0		Dude, Where's My Car? (2000)	2000-12-15	1.0		73180723.0	
9	Amy Adams,James Marsden,Susan Sarandon	4025.0	Don Burgess	Alan Menken		Buena Vista	146099168.608	212680390.0	Family Adventure	16712388.2638	44555469.4255	14619964.0	PG	Barry Sonnenfeld	85000000.0	5.0	2007-11-21		107.0	3632.0		Enchanted (2007)	2007-11-16	0.0		340487652.0	
10	Patrick Stewart,Thomas Dekker	13473.0				Paramount	121021208.058	42400000.0	Sci-Fi Adventure	57296689.4931	30335402.8051	35825993.0	PG		35000000.0	1.0	1994-11-18		117.0	2659.0		Star Trek: Generations (1994)	1994-11-18	1.0		118071125.0	
11	Derek Luke,Michael Ealy,John Turturro,Joseph Gordon-Levitt,James Gandolfini,Kerry Washington,D.B. Sweeney	3876.0		Terence Blanchard	Spike Lee	Buena Vista	8717785.41864	1404716.0	War Drama	5056648.1546	2607248.64778	4593390.0	R	Jon Kilik	45000000.0	9.0	2008-09-26		166.0	1185.0		Miracle at St. Anna (2008)	2008-09-26	1.0		9323833.0	
12		7100.0				108 Pics	36984.6789574		Romantic Comedy	29924.9254242	6954.38407746	28400.0	PG-13				2011-04-22		93.0	4.0		When Harry Tries to Marry (2011)	2011-04-22	1.0			
13		7700.0				Net Effect	415521.290746		Unknown	289840.799365	87834.3094283	231000.0	Unrated			28.0	2004-05-21		160.0	30.0		Yuva (2004)	2004-05-21	1.0			
14		5427.0				First Run	44985.2658254		Documentary	11948.6608083	13607.646605	10854.0	Unrated			85.0	2008-09-12		95.0	2.0		Moving Midway (2008)	2008-09-12	1.0			
