actors	assoc_producers	average_per_theatre	cinematographers	composers	directors	distributor	domestic	exec_producers	foreign	genre	gross	gross2	gross_to_date	line_producers	mpaa_rating	producers	production_budget	rank	release_date	runtime	theaters	theatre_change	title	week	week_number	week_over_week_change	worldwide	writers
Famke Janssen		2722.0				Screen Media	5149.0			Drama	2722.0	2427.0	2722.0		R			117.0	2008-05-09	92.0	1.0		Turn the River (2008)	2008-05-09	1.0			
		6982.0	Stuart Dryburgh		Martin Scorsese	Paramount Vantage	5505267.0		10268084.0	Documentary	1926961.0	1261082.0	1926961.0		PG-13			15.0	2008-04-04	122.0	276.0		Shine a Light (2008)	2008-04-04	1.0		15773351.0	
Warren Beatty,Diane Keaton,Jack Nicholson,Paul Sorvino		9785.0	Vittorio Storaro			Paramount	40382659.0			Historical Drama	3875048.0	3045964.0	3875048.0		PG		32000000.0	1.0	1981-12-04	194.0	396.0		Reds (1981)	1981-12-04	1.0			
Donnie Yen		4006.0				Variance Films	205675.0		14856127.0	Foreign / Action	80121.0	48216.0	80121.0		R			44.0	2011-01-28	107.0	20.0		Ip Man 2: Legend of the Grandmaster (2011)	2011-01-28	1.0		15061802.0	
		3090.0				Drafthouse	279558.0		1826000.0	Documentary	3090.0	36421.0	3090.0		Unrated			106.0	2014-09-17	97.0	1.0		20,000 Days on Earth (2014)	2014-09-12	0.0		2105558.0	
Jeremy Irvine		6729.0				Relativity	26501323.0		22352982.0	Horror	17509105.0	5678468.0	17509105.0		PG-13	Ryan Kavanaugh,Tucker Tooley		4.0	2015-01-02	98.0	2602.0		The Woman in Black 2: Angel of Death (2015)	2015-01-02	1.0		48854305.0	
Steve Coogan		35760.0			Michael Winterbottom	IFC	2880537.0		3049000.0	Comedy	107280.0	154027.0	107280.0		Unrated			38.0	2014-08-15		3.0		The Trip to Italy (2014)	2014-08-15	1.0		5929537.0	
		3115.0				Zipporah Films	253941.0			Documentary	3115.0	16221.0	3116.0		Unrated			97.0	2014-11-05	183.0	1.0		National Gallery (2014)	2014-10-31	0.0			
Justin Long,Michael Parks,Genesis Rodriguez,Haley Joel Osment,Johnny Depp		1885.0			Kevin Smith	A24	1826705.0			Horror	1134536.0	428079.0	1134536.0		R			14.0	2014-09-19	102.0	602.0		Tusk (2014)	2014-09-19	1.0		1826705.0	Kevin Smith
Vera Farmiga,Patrick Wilson,Lili Taylor,Ron Livingston,Joey King		21266.0		Joseph Bishara	James Wan	Warner Bros. (New Line)	137400141.0		180600000.0	Horror	61736628.0	33193125.0	61736628.0		R	Rob Cowan,Tony DeRosa-Grund,Peter Safran	20000000.0	1.0	2013-07-19	112.0	2903.0		The Conjuring (2013)	2013-07-19	1.0		318000141.0	Carey Hayes,Chad Hayes
		2860.0				Kino	10433.0		183825.0	Foreign	2860.0	1104.0	2860.0		Unrated			91.0	2007-02-02	90.0	1.0		In the Pit (2007)	2007-02-02	1.0		194258.0	
		2307.0			Brian De Palma	Magnolia	65388.0		716714.0	War	34612.0	13756.0	34612.0		R			60.0	2007-11-16	90.0	15.0		Redacted (2007)	2007-11-16	1.0		782102.0	
Kate Beckinsale,Uma Thurman		26003.0			James Ivory	Lions Gate	3050532.0		2703146.0	Period Drama	130014.0	93203.0	130014.0		R			38.0	2001-04-27	134.0	5.0		The Golden Bowl (2001)	2001-04-27	1.0		5753678.0	Ruth Prawer Jhabvala
		25663.0				IFC	332829.0		2442482.0	Foreign	51325.0	55515.0	51325.0		Unrated			49.0	2006-07-14	90.0	2.0		Gabrielle (2006)	2006-07-14	1.0		2775311.0	
		2393.0				Hemdale	4348025.0			Unknown	2500278.0	1206134.0	2500278.0		R			6.0	1989-11-10	92.0	1045.0		Staying Together (1989)	1989-11-10	1.0			
Tony Leung		6489.0			Wong Kar Wai	Sony Classics	174273.0		1738217.0	Foreign / Action	32444.0	27517.0	32444.0		R	Wong Kar Wai		64.0	2008-10-10	93.0	5.0		Ashes of Time Redux (2008)	2008-10-10	1.0		1912490.0	
		13528.0				Zeitgeist	317405.0		1175248.0	Foreign	27056.0	50262.0	27056.0		Unrated			65.0	2012-03-02	90.0	2.0		The Salt of Life (2012)	2012-03-02	1.0		1492653.0	
		2492.0				Monterey Media, Inc.	8845.0			Crime Drama	2492.0	2665.0	2492.0		PG-13			82.0	2015-06-26	114.0	1.0		The Pardon (2015)	2015-06-26	1.0			
Sigourney Weaver,David Strathairn,Julianne Moore,Chloe Sevigny		8349.0				First Look	544965.0			Unknown	16698.0	47848.0	16698.0		R	Kathleen Kennedy,Frank Marshall		58.0	1999-12-03	125.0	2.0		A Map of the World (1999)	1999-12-03	1.0		544965.0	Peter Hedges
Melissa Leo		1543.0				Rainbow Releasing	171255.0			Comedy / Drama	6173.0	22830.0	6173.0		R			95.0	2007-05-18	101.0	4.0		Hollywood Dreams (2007)	2007-05-18	1.0			
		4172.0				The Film Collaborative	85812.0			Documentary	16686.0	6843.0	16686.0		Unrated			73.0	2015-10-16	90.0	4.0		Tab Hunter Confidential (2015)	2015-10-16	1.0			
